trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
169,2026-05-08 02:54:18.330870+00:00,MA,hit_target,2.3,418.56,18616.92,18660.08,-0.23,True
170,2026-05-08 02:54:18.339046+00:00,MA,hit_stop,-1.0,-186.17,18430.75,18660.08,-1.23,True
171,2026-05-08 02:54:18.370767+00:00,MA,expired,0.24,44.18,18474.93,18660.08,-0.99,True
172,2026-05-08 02:54:18.375575+00:00,MA,hit_stop,-1.0,-184.75,18290.18,18660.08,-1.98,True
173,2026-05-08 02:54:18.387315+00:00,MA,expired,1.731,316.59,18606.77,18660.08,-0.29,True
174,2026-05-08 02:54:18.403307+00:00,MA,expired,0.923,171.8,18778.57,18778.57,0.0,False
175,2026-05-08 02:54:18.405034+00:00,MA,expired,0.188,35.3,18813.87,18813.87,0.0,False
176,2026-05-08 02:54:18.408770+00:00,MA,hit_stop,-1.0,-188.14,18625.73,18813.87,-1.0,True
177,2026-05-08 02:54:18.444190+00:00,MA,hit_stop,-1.0,-186.26,18439.48,18813.87,-1.99,True
178,2026-05-08 02:54:19.238745+00:00,AVGO,hit_target,3.1,571.62,19011.1,19011.1,0.0,False
179,2026-05-08 02:54:19.257116+00:00,AVGO,hit_stop,-1.0,-190.11,18820.99,19011.1,-1.0,True
180,2026-05-08 02:54:19.269288+00:00,AVGO,hit_stop,-1.0,-188.21,18632.78,19011.1,-1.99,True
181,2026-05-08 02:54:19.269885+00:00,AVGO,hit_stop,-1.0,-186.33,18446.45,19011.1,-2.97,True
182,2026-05-08 02:54:19.272543+00:00,AVGO,hit_target,1.25,230.58,18677.03,19011.1,-1.76,True
183,2026-05-08 02:54:19.317062+00:00,AVGO,hit_stop,-1.0,-186.77,18490.26,19011.1,-2.74,True
184,2026-05-08 02:54:19.367363+00:00,AVGO,expired,2.681,495.81,18986.07,19011.1,-0.13,True
185,2026-05-08 02:54:19.369575+00:00,AVGO,expired,1.152,218.75,19204.83,19204.83,0.0,False
186,2026-05-08 02:54:19.428033+00:00,AVGO,hit_target,2.29,439.79,19644.62,19644.62,0.0,False
187,2026-05-08 02:54:19.432557+00:00,AVGO,hit_stop,-1.0,-196.45,19448.17,19644.62,-1.0,True
188,2026-05-08 02:54:20.279326+00:00,HD,expired,1.448,281.57,19729.74,19729.74,0.0,False
189,2026-05-08 02:54:20.298214+00:00,HD,hit_target,2.01,396.57,20126.3,20126.3,0.0,False
190,2026-05-08 02:54:20.300547+00:00,HD,hit_target,3.41,686.31,20812.61,20812.61,0.0,False
191,2026-05-08 02:54:20.307751+00:00,HD,hit_stop,-1.0,-208.13,20604.48,20812.61,-1.0,True
192,2026-05-08 02:54:20.312850+00:00,HD,hit_stop,-1.0,-206.04,20398.44,20812.61,-1.99,True
193,2026-05-08 02:54:20.330881+00:00,HD,hit_stop,-1.0,-203.98,20194.45,20812.61,-2.97,True
194,2026-05-08 02:54:20.335347+00:00,HD,hit_stop,-1.0,-201.94,19992.51,20812.61,-3.94,True
195,2026-05-08 02:54:20.345120+00:00,HD,hit_target,1.91,381.86,20374.37,20812.61,-2.11,True
196,2026-05-08 02:54:20.357028+00:00,HD,hit_stop,-1.0,-203.74,20170.62,20812.61,-3.08,True
197,2026-05-08 02:54:20.365448+00:00,HD,expired,0.411,82.96,20253.59,20812.61,-2.69,True
198,2026-05-08 02:54:20.365932+00:00,HD,hit_stop,-1.0,-202.54,20051.05,20812.61,-3.66,True
199,2026-05-08 02:54:20.402671+00:00,HD,expired,1.144,229.35,20280.4,20812.61,-2.56,True
200,2026-05-08 02:54:20.403480+00:00,HD,expired,0.69,139.88,20420.28,20812.61,-1.89,True
201,2026-05-08 02:54:20.405853+00:00,HD,hit_stop,-1.0,-204.2,20216.08,20812.61,-2.87,True
202,2026-05-08 02:54:21.472659+00:00,PG,hit_stop,-1.0,-202.16,20013.92,20812.61,-3.84,True
203,2026-05-08 02:54:21.493287+00:00,PG,expired,0.409,81.8,20095.72,20812.61,-3.44,True
204,2026-05-08 02:54:21.510360+00:00,PG,hit_target,2.1,422.01,20517.73,20812.61,-1.42,True
205,2026-05-08 02:54:21.515628+00:00,PG,hit_stop,-1.0,-205.18,20312.55,20812.61,-2.4,True
206,2026-05-08 02:54:21.539084+00:00,PG,hit_stop,-1.0,-203.13,20109.42,20812.61,-3.38,True
207,2026-05-08 02:54:21.551775+00:00,PG,hit_target,2.42,486.65,20596.07,20812.61,-1.04,True
208,2026-05-08 02:54:21.552368+00:00,PG,hit_stop,-1.0,-205.96,20390.11,20812.61,-2.03,True
209,2026-05-08 02:54:21.562211+00:00,PG,hit_stop,-1.0,-203.9,20186.21,20812.61,-3.01,True
210,2026-05-08 02:54:21.566374+00:00,PG,hit_stop,-1.0,-201.86,19984.35,20812.61,-3.98,True
211,2026-05-08 02:54:21.581354+00:00,PG,hit_stop,-1.0,-199.84,19784.5,20812.61,-4.94,True
212,2026-05-08 02:54:21.626316+00:00,PG,hit_target,2.82,557.92,20342.43,20812.61,-2.26,True
213,2026-05-08 02:54:21.626993+00:00,PG,hit_target,3.18,646.89,20989.32,20989.32,0.0,False
214,2026-05-08 02:54:21.628619+00:00,PG,hit_stop,-1.0,-209.89,20779.42,20989.32,-1.0,True
215,2026-05-08 02:54:21.629493+00:00,PG,hit_stop,-1.0,-207.79,20571.63,20989.32,-1.99,True
216,2026-05-08 02:54:22.440105+00:00,COST,hit_stop,-1.0,-205.72,20365.91,20989.32,-2.97,True
217,2026-05-08 02:54:22.441664+00:00,COST,expired,0.234,47.66,20413.57,20989.32,-2.74,True
218,2026-05-08 02:54:22.462474+00:00,COST,hit_stop,-1.0,-204.14,20209.44,20989.32,-3.72,True
219,2026-05-08 02:54:22.465104+00:00,COST,hit_target,2.62,529.49,20738.93,20989.32,-1.19,True
220,2026-05-08 02:54:22.474912+00:00,COST,expired,2.302,477.34,21216.26,21216.26,0.0,False
221,2026-05-08 02:54:22.477580+00:00,COST,hit_target,2.77,587.69,21803.95,21803.95,0.0,False
222,2026-05-08 02:54:22.492235+00:00,COST,hit_target,2.22,484.05,22288.0,22288.0,0.0,False
223,2026-05-08 02:54:22.493328+00:00,COST,expired,2.972,662.32,22950.31,22950.31,0.0,False
224,2026-05-08 02:54:22.494513+00:00,COST,hit_stop,-1.0,-229.5,22720.81,22950.31,-1.0,True
225,2026-05-08 02:54:22.495644+00:00,COST,expired,1.426,324.06,23044.87,23044.87,0.0,False
226,2026-05-08 02:54:22.509064+00:00,COST,hit_stop,-1.0,-230.45,22814.42,23044.87,-1.0,True
227,2026-05-08 02:54:22.522666+00:00,COST,expired,1.12,255.45,23069.87,23069.87,0.0,False
228,2026-05-08 02:54:22.523415+00:00,COST,hit_stop,-1.0,-230.7,22839.17,23069.87,-1.0,True
229,2026-05-08 02:54:22.524438+00:00,COST,hit_stop,-1.0,-228.39,22610.78,23069.87,-1.99,True
230,2026-05-08 02:54:22.533315+00:00,COST,hit_target,2.38,538.14,23148.91,23148.91,0.0,False
231,2026-05-08 02:54:22.552939+00:00,COST,hit_stop,-1.0,-231.49,22917.43,23148.91,-1.0,True
232,2026-05-08 02:54:22.567418+00:00,COST,hit_stop,-1.0,-229.17,22688.25,23148.91,-1.99,True
233,2026-05-08 02:54:22.593250+00:00,COST,hit_target,1.43,324.44,23012.69,23148.91,-0.59,True
234,2026-05-08 02:54:22.594438+00:00,COST,hit_stop,-1.0,-230.13,22782.57,23148.91,-1.58,True
235,2026-05-08 02:54:22.596626+00:00,COST,expired,0.594,135.42,22917.98,23148.91,-1.0,True
