trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
140,2026-05-09 03:33:15.931396+00:00,JPM,hit_target,4.65,769.87,17326.17,17326.17,0.0,False
141,2026-05-09 03:33:15.932912+00:00,JPM,hit_target,4.12,713.84,18040.0,18040.0,0.0,False
142,2026-05-09 03:33:15.941507+00:00,JPM,hit_stop,-1.0,-180.4,17859.6,18040.0,-1.0,True
143,2026-05-09 03:33:15.944191+00:00,JPM,hit_target,2.49,444.7,18304.31,18304.31,0.0,False
144,2026-05-09 03:33:15.949650+00:00,JPM,expired,0.429,78.49,18382.79,18382.79,0.0,False
145,2026-05-09 03:33:15.950873+00:00,JPM,hit_stop,-1.0,-183.83,18198.97,18382.79,-1.0,True
146,2026-05-09 03:33:15.959463+00:00,JPM,hit_stop,-1.0,-181.99,18016.98,18382.79,-1.99,True
147,2026-05-09 03:33:15.970533+00:00,JPM,hit_stop,-1.0,-180.17,17836.81,18382.79,-2.97,True
148,2026-05-09 03:33:15.979377+00:00,JPM,hit_stop,-1.0,-178.37,17658.44,18382.79,-3.94,True
149,2026-05-09 03:33:15.987049+00:00,JPM,expired,-0.378,-66.79,17591.64,18382.79,-4.3,True
150,2026-05-09 03:33:15.993580+00:00,JPM,expired,0.125,21.93,17613.57,18382.79,-4.18,True
151,2026-05-09 03:33:15.994431+00:00,JPM,hit_stop,-1.0,-176.14,17437.44,18382.79,-5.14,True
152,2026-05-09 03:33:16.004132+00:00,JPM,expired,1.056,184.19,17621.63,18382.79,-4.14,True
153,2026-05-09 03:33:16.009106+00:00,JPM,hit_stop,-1.0,-176.22,17445.41,18382.79,-5.1,True
154,2026-05-09 03:33:16.025543+00:00,JPM,expired,-0.15,-26.2,17419.22,18382.79,-5.24,True
155,2026-05-09 03:33:16.029881+00:00,JPM,hit_target,1.45,252.58,17671.79,18382.79,-3.87,True
156,2026-05-09 03:33:16.030705+00:00,JPM,hit_target,1.62,286.28,17958.08,18382.79,-2.31,True
157,2026-05-09 03:33:16.048086+00:00,JPM,hit_stop,-1.0,-179.58,17778.5,18382.79,-3.29,True
158,2026-05-09 03:33:16.087095+00:00,JPM,expired,0.23,40.93,17819.43,18382.79,-3.06,True
159,2026-05-09 03:33:16.088570+00:00,JPM,hit_stop,-1.0,-178.19,17641.23,18382.79,-4.03,True
160,2026-05-09 03:33:16.835824+00:00,UNH,hit_target,1.83,322.83,17964.07,18382.79,-2.28,True
161,2026-05-09 03:33:16.849092+00:00,UNH,hit_target,1.94,348.5,18312.57,18382.79,-0.38,True
162,2026-05-09 03:33:16.849996+00:00,UNH,hit_target,2.56,468.8,18781.37,18781.37,0.0,False
163,2026-05-09 03:33:16.851697+00:00,UNH,hit_stop,-1.0,-187.81,18593.56,18781.37,-1.0,True
164,2026-05-09 03:33:16.887442+00:00,UNH,expired,0.656,121.92,18715.48,18781.37,-0.35,True
